id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,recovery_time_median,recovery_rate,acc_auc_ratio_01_mean
1,allbatch_bn_none_phase_first,24.7,73.1,53.77777777777778,17.395555555555553,23.927777777777777,22.88888888888889,11.9,600.0,0.6222222222222222,0.32776071493567527
2,allbatch_bn_eval_phase_first,7.8,56.375,53.97222222222222,9.774444444444443,14.2,12.86111111111111,11.066666666666666,5000.0,0.4222222222222222,0.1770585713203854
3,allbatch_bn_momentum0_phase_last,25.7,73.65,53.27777777777778,17.264666666666667,24.555555555555557,22.716666666666665,11.627777777777778,532.0,0.6444444444444445,0.3349545449653307
4,currentbatch_bn_momentum0_phase_first,13.7,71.825,64.58333333333333,17.10844444444444,22.511111111111113,22.511111111111113,13.844444444444445,5000.0,0.37777777777777777,0.24114376653470043
5,allbatch_bn_save_restore_phase_first,24.7,73.1,53.77777777777778,17.598222222222223,24.166666666666668,23.155555555555555,11.9,600.0,0.6222222222222222,0.326940008424786
6,allbatch_bn_momentum0_phase_first,24.7,73.1,53.77777777777778,17.598222222222223,24.166666666666668,23.155555555555555,11.9,600.0,0.6222222222222222,0.326940008424786
