id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,acc_auc_ratio_01_mean
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,0.33257249338383976
0.01,lambda0.03_gamma0.01,29.375,67.35,42.19444444444444,20.55377777777778,29.622222222222224,27.044444444444444,9.077777777777778,0.3259711644666628
0.05,lambda0.03_gamma0.05,28.5,66.325,42.02777777777778,19.705111111111115,28.738888888888887,25.927777777777777,8.994444444444444,0.32176809367724857
0.1,lambda0.03_gamma0.1,27.2,62.85,39.611111111111114,18.539777777777775,26.988888888888887,24.394444444444446,8.594444444444445,0.3153552439214625
0.15,lambda0.03_gamma0.15,26.075,61.725,39.611111111111114,18.282222222222227,26.9,24.055555555555557,8.527777777777779,0.3135244679917885
0.2,lambda0.03_gamma0.2,26.075,61.725,39.611111111111114,18.282222222222227,26.9,24.055555555555557,8.527777777777779,0.3135244679917885
0.5,lambda0.03_gamma0.5,26.075,61.725,39.611111111111114,18.282222222222227,26.9,24.055555555555557,8.527777777777779,0.3135244679917885
