id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,recovery_time_median,recovery_rate,acc_auc_ratio_01_mean
0.0,0.0_no_sam,6.45,64.275,64.25,7.9670000000000005,12.85,12.85,12.85,5000.0,0.0,0.14687511067233905
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,532.0,0.6444444444444445,0.33257249338383976
0.0,0.0_sam_last_rho0.05,6.375,63.725,63.72222222222222,7.901555555555555,12.744444444444444,12.744444444444444,12.744444444444444,5000.0,0.0,0.15417356796432202
0.2,0.2_no_sam,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,532.0,0.6444444444444445,0.33257249338383976
0.2,0.2_sam_last_rho0.05,25.7,73.65,53.27777777777778,17.264666666666667,24.555555555555557,22.716666666666665,11.627777777777778,532.0,0.6444444444444445,0.3349545449653307
0.5,0.5_no_sam,23.575,73.75,55.75,0.0,15.372222222222222,10.666666666666666,11.65,125.0,0.7555555555555555,0.3473938936073749
0.5,0.5_sam_last_rho0.05,24.45,74.0,55.05555555555556,0.0,16.41111111111111,12.25,11.45,250.0,0.8,0.35239594592600165
0.8,0.8_sam_last_rho0.05,20.35,73.8,59.388888888888886,0.0,14.466666666666667,6.9222222222222225,12.216666666666667,200.0,0.8,0.34099910440202763
0.8,0.8_no_sam,19.125,73.95,60.916666666666664,0.0,13.983333333333333,6.683333333333334,12.644444444444444,200.0,0.8,0.3358220212060317
