id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,recovery_time_median,recovery_rate,acc_auc_ratio_01_mean
1000,buffer_1000,13.425,74.725,68.11111111111111,11.315555555555557,16.833333333333332,14.88888888888889,13.894444444444444,152.0,0.7111111111111111,0.2649550421195691
2000,buffer_2000,18.8,74.75,62.166666666666664,13.262000000000002,19.283333333333335,17.45,12.911111111111111,380.0,0.6444444444444445,0.29694056887906456
5000,buffer_5000,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,532.0,0.6444444444444445,0.33257249338383976
10000,buffer_10000,27.075,73.725,51.833333333333336,19.40533333333334,26.761111111111113,25.533333333333335,11.433333333333334,600.0,0.6222222222222222,0.3393047006661225
