id,label,avg_acc,learning_success,mean_max_acc,forgetting,stability_gap,peak_drop,mean_task_max_peak_drop,recovery_time_median,recovery_rate
0.0,ratio_0.0,5.95,61.075,61.075,61.25,12.152000000000001,12.25,61.25,500.0,0.0
0.25,ratio_0.25,17.875,74.675,74.675,63.111111111111114,13.569111111111111,17.27777777777778,62.888888888888886,400.0,0.5333333333333333
0.5,ratio_0.5,16.525,74.6,74.6,64.52777777777777,11.57611111111111,14.494444444444444,57.861111111111114,200.0,0.6222222222222222
0.75,ratio_0.75,14.525,72.9,72.9,64.86111111111111,10.205,14.605555555555556,57.94444444444444,250.0,0.6222222222222222
