id,label,avg_acc,learning_success,forgetting,stability_gap,peak_drop,first_drop,last_drop,acc_auc_ratio_01_mean
0,Baseline,25.35,74.2,54.27777777777778,17.323777777777778,24.511111111111113,22.794444444444444,11.75,0.33257249338383976
0.01,beta0.01,25.125,73.85,54.138888888888886,16.255555555555556,23.016666666666666,21.38888888888889,11.761111111111111,0.3291845541852146
0.05,beta0.05,25.55,73.425,53.19444444444444,15.846000000000004,22.605555555555554,20.85,11.377777777777778,0.3317140439255175
0.1,beta0.1,24.7,73.2,53.888888888888886,15.63488888888889,22.583333333333332,20.572222222222223,11.472222222222221,0.33452952891820054
0.3,beta0.3,23.525,73.375,55.388888888888886,15.858666666666666,22.42222222222222,20.866666666666667,11.561111111111112,0.3298917618038175
0.5,beta0.5,22.0,72.375,55.97222222222222,14.972,21.67222222222222,19.7,11.827777777777778,0.31855015611672466
1.0,beta1.0,17.275,68.375,56.77777777777778,13.954444444444446,19.322222222222223,18.36111111111111,11.86111111111111,0.2785554946285842
2.0,beta2.0,10.3,61.775,57.19444444444444,10.673777777777778,15.11111111111111,14.044444444444444,11.555555555555555,0.2205101924457565
